,Movie_Title,Release_Date,Runtime_min,Rating,IMDB_Rating,Gross_Earnings,Book_Title,Author,AF_Bestseller,Print_Bestseller,Weeks_Before,Weeks_After,Total_Before,Total_After
0,The Help,2011-08-10 00:00:00,137,PG-13,8.1,169708112,the help,kathryn stockett,0,1,22,35,239,421
1,The Lincoln Lawyer,2011-03-18 00:00:00,119,R,7.3,58009200,the lincoln lawyer,michael connelly,0,1,0,13,0,122
2,One Day,2011-08-19 00:00:00,107,PG-13,7.0,13843771,one day,david nicholls,0,1,0,5,0,43
3,Something Borrowed,2011-05-06 00:00:00,103,PG-13,6.1,39046489,something borrowed,emily giffin,0,1,1,8,10,96
4,Water for Elephants,2011-04-22 00:00:00,120,PG-13,6.9,58709717,water for elephants,sara gruen,0,1,9,24,114,234
5,Abraham Lincoln: Vampire Hunter,2012-06-22 00:00:00,105,R,5.9,37519139,abraham lincoln: vampire hunter,seth grahame-smith,0,1,0,5,0,24
6,Life of Pi,2012-11-21 00:00:00,126,PG,8.0,124987023,life of pi,yann martel,0,1,0,12,0,60
7,The Lucky One,2012-04-20 00:00:00,101,PG-13,6.5,60457138,the lucky one,nicholas sparks,0,1,7,8,65,65
8,One For the Money,2012-01-27 00:00:00,91,PG-13,5.3,26414527,one for the money,janet evanovich,0,1,0,2,0,14
9,Silver Linings Playbook,2012-11-16 00:00:00,122,R,7.8,132092958,the silver linings playbook,matthew quick,0,1,0,13,0,41
10,Admission,2013-03-22 00:00:00,117,PG-13,5.7,18007317,admission,jean hanff korelitz,0,1,0,1,0,1
11,Ender's Game,2013-11-01 00:00:00,114,PG-13,6.7,61737191,ender's game,orson scott card,0,1,13,9,43,69
12,Labor Day,2014-01-31 00:00:00,111,PG-13,6.9,13371528,labor day,joyce maynard,0,1,0,3,0,18
13,Safe Haven,2013-02-14 00:00:00,115,PG-13,6.7,71349120,safe haven,nicholas sparks,0,1,9,9,104,93
14,Addicted,2014-10-10 00:00:00,105,R,5.1,17390770,addicted,zane,0,1,1,1,3,3
15,Flowers in the Attic,1987-11-20 00:00:00,92,PG-13,6.1,15151736,flowers in the attic,v. c. andrews,0,1,0,1,0,3
16,Gone Girl,2014-10-03 00:00:00,145,R,8.1,167767189,gone girl,gillian flynn,0,1,94,28,851,310
17,This is Where I Leave You,2014-09-19 00:00:00,103,R,6.6,34296320,this is where i leave you,jonathan tropper,0,1,1,1,6,3
18,Winter's Tale,2014-02-14 00:00:00,129,PG-13,6.2,12600231,winter's tale,mark helprin,0,1,1,1,2,6
19,Dark Places,2015-08-07 00:00:00,104,R,6.2,208588,dark places,gillian flynn,0,1,14,2,55,5
20,Fallen,1998-01-16 00:00:00,124,R,,25232289,fallen,lauren kate,0,1,0,1,0,3
21,,,,,,,the light between oceans,m.l. stedman,0,1,0,7,0,35
22,The Longest Ride,2015-04-10 00:00:00,139,PG-13,7.1,37446117,the longest ride,nicholas sparks,0,1,19,6,135,61
23,The Martian,2015-10-02 00:00:00,141,PG-13,8.1,228433663,the martian,andy weir,0,1,16,13,159,157
24,,,,,8.3,,room,emma donoghue,0,1,9,0,28,0
25,Still Alice,2015-01-16 00:00:00,101,PG-13,7.5,18754371,still alice,lisa genova,0,1,0,11,0,55
26,The Perks of Being a Wallflower,2012-09-21 00:00:00,103,PG-13,8.0,17742948,the perks of being a wallflower,stephen chbosky,1,0,0,71,0,781
27,,,,,,,shiver,brian harper,1,0,0,2,0,16
28,The Book Thief,2013-11-08 00:00:00,131,PG-13,7.6,21488481,the book thief,mark zusak,1,0,46,83,449,951
29,Divergent,2014-03-21 00:00:00,143,PG-13,6.7,150947895,divergent,veronica roth,1,0,47,0,636,0
30,The Fault in our Stars,2014-06-06 00:00:00,125,PG-13,7.8,124872350,the fault in our stars,john green,1,0,77,64,1118,827
31,If I Stay,2014-08-22 00:00:00,106,PG-13,6.8,50474843,if i stay,gayle forman,1,0,18,38,219,496
32,,,,,6.3,,insurgent,veronica roth,1,0,47,0,559,0
33,Me and Earl and the Dying Girl,2015-06-12 00:00:00,104,PG-13,7.8,6758416,me and earl and the dying girl,jesse andrews,1,0,3,11,27,145
34,Paper Towns,2015-07-24 00:00:00,109,PG-13,6.4,32000304,paper towns,john green,1,0,122,5,1293,75
